============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.14-s082_1
  Generated on:           May 20 2023  06:21:47 am
  Module:                 sdc300_chip
  Operating conditions:   ssg_cworst_max_0p99v_125c (balanced_tree)
  Operating conditions:   ssg_cworst_max_0p99v_m40c (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                                                         Leakage                                                                          Library 
                     Gate                      Instances      Area      Power (nW)                                 Library                                 Domain 
AOI22BB_X1P4M_A7TSULP_C50                            363       675.906     172.115    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X2M_A7TEHULP_C50                             221       411.502      11.408    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22BB_X2M_A7TSULP_C50                              111       206.682      60.172    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X3M_A7TEHULP_C50                              45       125.685       3.766    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22BB_X3M_A7TSULP_C50                               12        33.516      10.057    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X4M_A7TEHULP_C50                              77       258.073       8.486    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22BB_X4M_A7TSULP_C50                                4        13.406       4.308    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X6M_A7TEHULP_C50                               1         5.214       0.158    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X1M_A7TEHULP_C50                            119101    110883.031    1951.473    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X1M_A7TSULP_C50                                277       257.887      48.953    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22_X1P4M_A7TEHULP_C50                              83       139.091       2.120    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X1P4M_A7TSULP_C50                               44        73.735      12.069    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22_X2M_A7TEHULP_C50                               103       172.607       2.981    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X2M_A7TSULP_C50                                 26        43.571       9.268    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22_X3M_A7TEHULP_C50                                 4         9.682       0.126    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X3M_A7TSULP_C50                                  2         4.841       0.948    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22_X4M_A7TEHULP_C50                                 2         6.331       0.162    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22_X6M_A7TSULP_C50                                  3        13.965       2.944    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI2XB1_X1M_A7TEHULP_C50                            2555      2854.446      94.190    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI2XB1_X1M_A7TSULP_C50                               93       103.900      24.507    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI2XB1_X1P4M_A7TEHULP_C50                            80       134.064       3.023    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI2XB1_X1P4M_A7TSULP_C50                             19        31.840       7.648    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI2XB1_X2M_A7TEHULP_C50                              38        63.680       1.487    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI2XB1_X2M_A7TSULP_C50                               29        48.598      12.563    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI2XB1_X3M_A7TEHULP_C50                              21        46.922       1.032    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI2XB1_X4M_A7TEHULP_C50                               3         8.379       0.177    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI2XB1_X6M_A7TEHULP_C50                               1         4.096       0.095    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI31_X1M_A7TEHULP_C50                               928       863.968      17.978    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI31_X1M_A7TSULP_C50                                 27        25.137       4.801    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI31_X1P4M_A7TEHULP_C50                               7        13.034       0.364    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI31_X1P4M_A7TSULP_C50                               10        18.620       2.286    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI31_X2M_A7TEHULP_C50                                 9        16.758       0.410    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI31_X2M_A7TSULP_C50                                  7        13.034       2.518    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI31_X3M_A7TEHULP_C50                                 8        19.365       0.335    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI31_X3M_A7TSULP_C50                                  4         9.682       1.982    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI32_X1M_A7TEHULP_C50                              1228      1371.922      18.623    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI32_X1M_A7TSULP_C50                                 17        18.992       3.474    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI32_X2M_A7TEHULP_C50                                 1         2.234       0.048    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI32_X2M_A7TSULP_C50                                  1         2.234       0.409    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BMXT_X1M_A7TEHULP_C50                                 16        65.542       2.490    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BMXT_X1M_A7TSULP_C50                                   3        12.289       4.419    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BMXT_X1P4M_A7TEHULP_C50                                1         4.283       0.181    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BMXT_X2M_A7TEHULP_C50                                  2         8.565       0.387    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X11M_A7TEHULP_C50                                 1         3.538       0.267    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X13M_A7TEHULP_C50                                 1         4.096       0.296    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X16M_A7TEHULP_C50                                 5        25.137       1.814    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X16M_A7TSULP_C50                                  1         5.027       2.889    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X1M_A7TEHULP_C50                                690       385.434      17.800    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X1M_A7TSULP_C50                                  39        21.785       8.960    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X1P2M_A7TEHULP_C50                              156       116.189       6.020    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X1P2M_A7TSULP_C50                                24        17.875       7.123    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X1P4M_A7TEHULP_C50                               27        20.110       1.186    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X1P4M_A7TSULP_C50                                 5         3.724       1.668    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X1P7M_A7TEHULP_C50                             1336       995.053      63.437    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X2M_A7TEHULP_C50                                153       113.954       8.285    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X2M_A7TLULP_C50                                  13         9.682      25.618    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X2M_A7TSULP_C50                                  43        32.026      18.566    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X2P5M_A7TEHULP_C50                              297       331.808      20.828    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X2P5M_A7TSULP_C50                                 3         3.352       1.686    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X3M_A7TEHULP_C50                                 15        16.758       1.167    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X3M_A7TSULP_C50                                   1         1.117       0.761    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUFH_X3P5M_A7TEHULP_C50                                3         3.910       0.258    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X4M_A7TEHULP_C50                                 31        40.405       3.130    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X5M_A7TEHULP_C50                                  5         8.379       0.629    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X6M_A7TEHULP_C50                                  2         4.096       0.297    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X7P5M_A7TEHULP_C50                                3         7.820       0.560    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUFH_X9M_A7TEHULP_C50                                 25        74.480       5.301    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X11B_A7TEHULP_C50                                  2         5.586       0.364    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X11M_A7TEHULP_C50                                  2         5.958       0.471    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X16B_A7TLULP_C50                                  10        39.102      68.994    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X16M_A7TEHULP_C50                                  3        12.289       0.796    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X1B_A7TEHULP_C50                                1408       786.509      36.549    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X1B_A7TSULP_C50                                    3         1.676       0.658    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1M_A7TSULP_C50                                    1         0.559       0.221    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1P2B_A7TEHULP_C50                                14        10.427       0.473    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X1P2M_A7TSULP_C50                                  1         0.745       0.252    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1P4B_A7TEHULP_C50                                 6         4.469       0.212    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X1P4B_A7TSULP_C50                                 14        10.427       3.740    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1P4M_A7TSULP_C50                                  1         0.745       0.306    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1P7B_A7TSULP_C50                                  1         0.745       0.282    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X1P7M_A7TSULP_C50                                  2         1.490       0.603    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X2B_A7TEHULP_C50                                   1         0.745       0.049    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X2B_A7TSULP_C50                                    1         0.745       0.331    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X2M_A7TEHULP_C50                                   3         2.234       0.131    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X2P5M_A7TSULP_C50                                  2         1.862       0.826    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X3B_A7TSULP_C50                                    1         0.931       0.425    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X3P5M_A7TEHULP_C50                                 2         2.234       0.176    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X3P5M_A7TLULP_C50                                  7         7.820      16.664    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X4B_A7TEHULP_C50                                   1         1.117       0.067    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X4M_A7TEHULP_C50                                   4         5.214       0.367    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X4M_A7TSULP_C50                                   33        43.012      21.116    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X5B_A7TSULP_C50                                   25        37.240      16.796    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X5M_A7TEHULP_C50                                   5         7.448       0.550    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X5M_A7TLULP_C50                                    4         5.958      11.962    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X5M_A7TSULP_C50                                   18        26.813      14.898    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X6B_A7TEHULP_C50                                  13        21.785       1.440    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X6M_A7TEHULP_C50                                   4         6.703       0.524    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X6M_A7TSULP_C50                                   15        25.137      14.911    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X7P5B_A7TSULP_C50                                  1         2.048       0.942    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
BUF_X7P5M_A7TEHULP_C50                                 5        11.172       0.707    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
BUF_X9M_A7TEHULP_C50                                   8        19.365       1.432    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENCIN_X1M_A7TEHULP_C50                               4        11.917       0.459    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENCIN_X1M_A7TSULP_C50                                9        26.813       8.834    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENCIN_X1P4M_A7TEHULP_C50                             1         3.724       0.175    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENCIN_X1P4M_A7TSULP_C50                             22        81.928      30.652    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENCON_X1M_A7TEHULP_C50                               6        16.758       0.502    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENCON_X1M_A7TSULP_C50                               96       268.128      86.278    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENCON_X1P4M_A7TEHULP_C50                             1         3.538       0.154    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENCON_X1P4M_A7TSULP_C50                              1         3.538       1.201    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENI_X1M_A7TEHULP_C50                              3488      3896.794      61.905    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENI_X1M_A7TSULP_C50                                320       357.504      49.429    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENI_X1P4M_A7TEHULP_C50                               6        12.289       0.179    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENI_X1P4M_A7TSULP_C50                               56       114.699      12.378    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGENI_X2M_A7TEHULP_C50                                57       116.747       2.632    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGENI_X2M_A7TSULP_C50                                 15        30.723       4.199    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGEN_X1M_A7TEHULP_C50                               2040      2658.936      75.629    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGEN_X1M_A7TSULP_C50                                 148       192.903      35.242    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGEN_X1P4M_A7TEHULP_C50                               13        19.365       0.583    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGEN_X1P4M_A7TSULP_C50                                 5         7.448       1.389    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CGEN_X2M_A7TEHULP_C50                                 10        14.896       0.480    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CGEN_X2M_A7TSULP_C50                                   1         1.490       0.286    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CMPR42_X1M_A7TEHULP_C50                             9829     58565.114    1785.478    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
CMPR42_X1M_A7TSULP_C50                                 1         5.958       1.524    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
CMPR42_X1P4M_A7TEHULP_C50                              1         6.517       0.211    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFNSRPQ_X1M_A7TEHULP_C50                             22        94.217       3.133    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFQN_X1M_A7TEHULP_C50                               220       696.388      19.863    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFQ_X1M_A7TEHULP_C50                              14773     46762.454    1433.645    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQN_X1M_A7TEHULP_C50                           30395    113190.980    3114.749    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQN_X1M_A7TSULP_C50                              896      3336.704     749.417    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFRPQN_X2M_A7TEHULP_C50                             150       586.530      15.538    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQ_X1M_A7TEHULP_C50                           144536    538252.064   16081.388    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQ_X1M_A7TSULP_C50                               322      1199.128     265.942    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFRPQ_X2M_A7TEHULP_C50                              698      2729.320      91.335    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQ_X2M_A7TSULP_C50                                79       308.906      72.232    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFRPQ_X3M_A7TEHULP_C50                               31       126.988       4.779    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQ_X3M_A7TSULP_C50                                 5        20.482       5.049    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFRPQ_X4M_A7TEHULP_C50                               70       312.816      12.305    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFRPQ_X4M_A7TSULP_C50                                 5        22.344       6.064    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFSQN_X1M_A7TEHULP_C50                               55       204.820       6.620    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSQN_X1M_A7TSULP_C50                                 1         3.724       0.717    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
DFFSQN_X2M_A7TEHULP_C50                                1         3.910       0.136    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSQ_X1M_A7TEHULP_C50                              2512      9354.688     277.188    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSQ_X2M_A7TEHULP_C50                                16        62.563       1.976    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSQ_X3M_A7TEHULP_C50                                 6        24.578       0.793    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSQ_X4M_A7TEHULP_C50                                10        44.688       1.560    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
DFFSRPQ_X1M_A7TEHULP_C50                               7        29.978       0.997    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X11B_A7TEHULP_C50                                165       368.676      29.350    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X11B_A7TSULP_C50                                  14        31.282      13.711    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X11M_A7TEHULP_C50                                 31        69.266       5.883    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X13B_A7TEHULP_C50                                209       544.821      43.697    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X13B_A7TSULP_C50                                   3         7.820       3.416    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X13M_A7TEHULP_C50                                 55       143.374      12.365    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X16B_A7TEHULP_C50                                334      1057.244      84.777    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X16B_A7TSULP_C50                                   6        18.992       8.596    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X16M_A7TEHULP_C50                                  1         3.165       0.150    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1B_A7TEHULP_C50                              121898     45394.815    1729.811    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1B_A7TSULP_C50                                  401       149.332      44.909    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1M_A7TEHULP_C50                                4091      1523.488      60.535    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1M_A7TSULP_C50                                  299       111.348      43.940    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P2B_A7TEHULP_C50                              2211      1235.065      44.506    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P2B_A7TSULP_C50                                275       153.615      36.453    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P2M_A7TEHULP_C50                              3784      2113.742      90.675    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P2M_A7TSULP_C50                                333       186.014      71.309    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P4B_A7TEHULP_C50                               999       558.041      17.680    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P4B_A7TSULP_C50                                 60        33.516       8.711    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P4M_A7TEHULP_C50                               391       218.413       8.910    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P4M_A7TSULP_C50                                172        96.079      30.644    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P7B_A7TEHULP_C50                              3112      1738.363      76.849    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P7B_A7TSULP_C50                                603       336.836     103.088    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X1P7M_A7TEHULP_C50                              2982      1665.745      81.247    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X1P7M_A7TSULP_C50                                 71        39.661      19.011    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X2B_A7TEHULP_C50                                1350       754.110      38.030    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X2B_A7TSULP_C50                                  160        89.376      36.828    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X2M_A7TEHULP_C50                                2351      1313.269      75.156    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
INV_X2M_A7TLULP_C50                                    1         0.559       1.744    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
INV_X2M_A7TSULP_C50                                   88        49.157      34.225    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
