============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.14-s082_1
  Generated on:           May 20 2023  06:21:47 am
  Module:                 sdc300_chip
  Operating conditions:   ssg_cworst_max_0p99v_125c (balanced_tree)
  Operating conditions:   ssg_cworst_max_0p99v_m40c (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                                                         Leakage                                                                          Library 
                     Gate                      Instances      Area      Power (nW)                                 Library                                 Domain 
AND2_X4B_A7TEHULP_C50                                 11        18.434       1.018    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X4B_A7TSULP_C50                                   4         6.703       2.503    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X4M_A7TEHULP_C50                                 28        46.922       2.658    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X4M_A7TSULP_C50                                   1         1.676       0.419    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X6B_A7TEHULP_C50                                 38        77.832       4.900    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X6B_A7TSULP_C50                                   5        10.241       4.241    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X6M_A7TEHULP_C50                                  8        22.344       1.169    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X8B_A7TEHULP_C50                                 12        33.516       2.116    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X8B_A7TSULP_C50                                   1         2.793       1.077    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X8M_A7TEHULP_C50                                  1         3.538       0.170    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X11M_A7TEHULP_C50                                 1         6.145       0.225    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1M_A7TEHULP_C50                                761       708.491      28.563    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1M_A7TSULP_C50                                   3         2.793       0.474    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND3_X1P4M_A7TEHULP_C50                               75        83.790       3.206    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1P4M_A7TSULP_C50                                 4         4.469       0.929    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND3_X2M_A7TEHULP_C50                                 10        11.172       0.493    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X3M_A7TEHULP_C50                                 12        22.344       1.226    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X3M_A7TSULP_C50                                   1         1.862       0.315    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X1M_A7TEHULP_C50                                605       675.906      36.753    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X1M_A7TSULP_C50                                  12        13.406       3.158    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X1P4M_A7TEHULP_C50                                6         7.820       0.248    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X2M_A7TEHULP_C50                                  6         7.820       0.354    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X2M_A7TSULP_C50                                   2         2.607       0.710    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X3M_A7TEHULP_C50                                  6        14.524       0.730    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X3M_A7TSULP_C50                                   6        14.524       2.554    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X4M_A7TEHULP_C50                                  3         7.820       0.376    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X4M_A7TSULP_C50                                   3         7.820       1.559    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X6M_A7TEHULP_C50                                  2         8.938       0.301    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X8M_A7TEHULP_C50                                  3        16.199       0.893    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X1M_A7TEHULP_C50                             13002     12104.862     555.605    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X1M_A7TSULP_C50                                469       436.639     119.058    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO1B2_X1P4M_A7TEHULP_C50                             550       716.870      36.849    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X1P4M_A7TSULP_C50                              108       140.767      39.256    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO1B2_X2M_A7TEHULP_C50                               542       706.443      43.557    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X2M_A7TSULP_C50                                 58        75.597      25.757    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO1B2_X3M_A7TEHULP_C50                                96       196.627      11.684    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X3M_A7TSULP_C50                                 13        26.627       8.586    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO1B2_X4M_A7TEHULP_C50                               432      1045.699      68.540    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X4M_A7TSULP_C50                                  2         4.841       1.748    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO1B2_X6M_A7TEHULP_C50                                47       166.277       9.887    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO1B2_X6M_A7TSULP_C50                                  3        10.613       3.658    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21A1AI2_X1M_A7TEHULP_C50                          2692      2506.252      68.667    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21A1AI2_X1M_A7TSULP_C50                             47        43.757       7.870    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21A1AI2_X1P4M_A7TEHULP_C50                          12        22.344       0.708    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21A1AI2_X1P4M_A7TSULP_C50                           14        26.068       3.038    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21A1AI2_X2M_A7TEHULP_C50                            37        68.894       2.064    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21A1AI2_X2M_A7TSULP_C50                             23        42.826       5.216    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21A1AI2_X3M_A7TEHULP_C50                            10        24.206       0.979    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21A1AI2_X3M_A7TSULP_C50                              2         4.841       0.506    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21A1AI2_X4M_A7TEHULP_C50                             2         6.703       0.290    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X1M_A7TEHULP_C50                              2493      2320.983     104.945    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X1M_A7TSULP_C50                                241       224.371      60.766    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21B_X1P4M_A7TEHULP_C50                             256       333.670      15.639    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X1P4M_A7TSULP_C50                               35        45.619      11.980    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21B_X2M_A7TEHULP_C50                              1086      1415.492      79.279    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X2M_A7TSULP_C50                                 43        56.046      18.384    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21B_X3M_A7TEHULP_C50                               184       376.869      18.751    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X3M_A7TSULP_C50                                 19        38.916      12.349    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21B_X4M_A7TEHULP_C50                               361       873.837      48.504    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X4M_A7TSULP_C50                                 19        45.991      16.608    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21B_X6M_A7TEHULP_C50                               158       558.972      35.679    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21B_X6M_A7TSULP_C50                                 50       176.890      63.521    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X1M_A7TEHULP_C50                               1923      2148.376      68.906    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X1M_A7TSULP_C50                                  23        25.696       6.944    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X1P4M_A7TEHULP_C50                               74        96.452       3.394    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X1P4M_A7TSULP_C50                                10        13.034       4.431    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X2M_A7TEHULP_C50                                 39        50.833       2.139    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X2M_A7TSULP_C50                                   2         2.607       0.992    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X3M_A7TEHULP_C50                                 48        98.314       4.013    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X3M_A7TSULP_C50                                   3         6.145       2.454    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X4M_A7TEHULP_C50                                 17        37.985       1.926    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X4M_A7TSULP_C50                                   7        15.641       6.005    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO21_X6M_A7TEHULP_C50                                 17        63.308       2.645    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO21_X6M_A7TSULP_C50                                  14        52.136      19.547    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X1M_A7TEHULP_C50                               7331      9555.225     267.735    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO22_X1M_A7TLULP_C50                                   1         1.303       1.502    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X1M_A7TSULP_C50                                 272       354.525      72.814    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X1P4M_A7TEHULP_C50                             1101      1640.050      57.503    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO22_X1P4M_A7TSULP_C50                                25        37.240       9.072    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X2M_A7TEHULP_C50                                 26        38.730       1.466    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO22_X2M_A7TSULP_C50                                  82       122.147      34.777    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X3M_A7TEHULP_C50                                185       447.811      17.170    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO22_X3M_A7TSULP_C50                                  19        45.991      12.792    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X4M_A7TEHULP_C50                                377       982.764      42.190    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AO22_X4M_A7TSULP_C50                                 106       276.321      82.656    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AO22_X6M_A7TEHULP_C50                                118       527.318      21.158    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
